,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
0,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Subindustry,4,0.01,2.73,0.96,82.69,Weight is well distributed over instruments.,2.11,-1
1,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Industry,4,0.01,2.49,0.9,83.38,Weight is well distributed over instruments.,2.01,-1
2,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Sector,4,0.01,2.27,0.85,83.95,Weight is well distributed over instruments.,1.88,-1
3,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Market,4,0.01,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
4,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Subindustry,4,0.08,2.73,0.96,82.69,Weight is well distributed over instruments.,2.11,-1
5,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Industry,4,0.08,2.49,0.9,83.38,Weight is well distributed over instruments.,2.01,-1
6,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Sector,4,0.08,2.27,0.85,83.95,Weight is well distributed over instruments.,1.88,-1
7,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Market,4,0.08,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
8,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Subindustry,4,0.01,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
9,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Industry,4,0.01,2.7,0.94,82.7,Weight is well distributed over instruments.,2.06,-1
10,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Sector,4,0.01,2.25,0.84,84.01,Weight is well distributed over instruments.,1.84,-1
11,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Market,4,0.01,2.13,0.87,84.42,Weight is well distributed over instruments.,1.86,-1
12,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Subindustry,4,0.08,2.7,0.94,82.7,Weight is well distributed over instruments.,2.06,-1
13,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Industry,4,0.08,2.46,0.89,83.41,Weight is well distributed over instruments.,1.96,-1
14,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Sector,4,0.08,2.25,0.84,84.01,Weight is well distributed over instruments.,1.84,-1
15,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Market,4,0.08,2.13,0.87,84.42,Weight is well distributed over instruments.,1.86,-1
16,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Subindustry,4,0.01,2.68,0.94,82.68,Weight is well distributed over instruments.,2.03,-1
17,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Industry,4,0.01,2.68,0.94,82.68,Weight is well distributed over instruments.,2.03,-1
18,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Sector,4,0.01,2.43,0.88,83.4,Weight is well distributed over instruments.,1.92,-1
19,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Market,4,0.01,2.11,0.86,84.42,Weight is well distributed over instruments.,1.83,-1
20,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Subindustry,4,0.08,2.68,0.94,82.68,Weight is well distributed over instruments.,2.03,-1
21,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Industry,4,0.08,2.43,0.88,83.4,Weight is well distributed over instruments.,1.92,-1
22,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Sector,4,0.08,2.22,0.83,84.0,Weight is well distributed over instruments.,1.81,-1
23,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Market,4,0.08,2.22,0.83,84.0,Weight is well distributed over instruments.,1.81,-1
24,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Subindustry,4,0.01,2.69,0.95,82.62,Weight is well distributed over instruments.,1.99,-1
25,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Industry,4,0.01,2.42,0.88,83.32,Weight is well distributed over instruments.,1.87,-1
26,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Sector,4,0.01,2.24,0.84,83.93,Weight is well distributed over instruments.,1.78,-1
27,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Market,4,0.01,2.12,0.87,84.35,Weight is well distributed over instruments.,1.82,-1
28,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Subindustry,4,0.08,2.69,0.95,82.62,Weight is well distributed over instruments.,1.99,-1
29,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Industry,4,0.08,2.42,0.88,83.32,Weight is well distributed over instruments.,1.87,-1
30,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Sector,4,0.08,2.24,0.84,83.93,Weight is well distributed over instruments.,1.78,-1
31,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Market,4,0.08,2.12,0.87,84.35,Weight is well distributed over instruments.,1.82,-1
32,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Subindustry,4,0.01,2.69,0.95,82.58,Weight is well distributed over instruments.,1.96,-1
33,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Industry,4,0.01,2.42,0.88,83.27,Weight is well distributed over instruments.,1.84,-1
34,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Sector,4,0.01,2.26,0.86,83.88,Weight is well distributed over instruments.,1.77,-1
35,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Market,4,0.01,2.15,0.89,84.3,Weight is well distributed over instruments.,1.81,-1
36,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Subindustry,4,0.08,2.69,0.95,82.58,Weight is well distributed over instruments.,1.96,-1
37,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Industry,4,0.08,2.42,0.88,83.27,Weight is well distributed over instruments.,1.84,-1
38,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Sector,4,0.08,2.26,0.86,83.88,Weight is well distributed over instruments.,1.77,-1
39,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Market,4,0.08,2.15,0.89,84.3,Weight is well distributed over instruments.,1.81,-1
40,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Subindustry,4,0.01,2.68,0.95,82.55,Weight is well distributed over instruments.,1.93,-1
41,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Industry,4,0.01,2.42,0.88,83.23,Weight is well distributed over instruments.,1.81,-1
42,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Sector,4,0.01,2.28,0.87,83.85,Weight is well distributed over instruments.,1.76,-1
43,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Market,4,0.01,2.16,0.9,84.26,Weight is well distributed over instruments.,1.81,-1
44,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Subindustry,4,0.08,2.68,0.95,82.55,Weight is well distributed over instruments.,1.93,-1
45,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Industry,4,0.08,2.42,0.88,83.23,Weight is well distributed over instruments.,1.81,-1
46,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Sector,4,0.08,2.28,0.87,83.85,Weight is well distributed over instruments.,1.76,-1
47,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Market,4,0.08,2.16,0.9,84.26,Weight is well distributed over instruments.,1.81,-1
48,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Subindustry,4,0.01,2.67,0.94,82.55,Weight is well distributed over instruments.,1.91,-1
49,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Industry,4,0.01,2.41,0.88,83.22,Weight is well distributed over instruments.,1.8,-1
50,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Sector,4,0.01,2.28,0.87,83.83,Weight is well distributed over instruments.,1.75,-1
51,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Market,4,0.01,2.28,0.87,83.83,Weight is well distributed over instruments.,1.75,-1
52,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Subindustry,4,0.08,2.67,0.94,82.55,Weight is well distributed over instruments.,1.91,-1
53,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Industry,4,0.08,2.41,0.88,83.22,Weight is well distributed over instruments.,1.8,-1
54,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Sector,4,0.08,2.28,0.87,83.83,Weight is well distributed over instruments.,1.75,-1
55,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Market,4,0.08,2.16,0.9,84.25,Weight is well distributed over instruments.,1.8,-1
56,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Subindustry,4,0.01,2.8,0.99,82.68,Weight is well distributed over instruments.,2.03,-1
57,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Industry,4,0.01,2.5,0.91,83.39,Weight is well distributed over instruments.,1.9,-1
58,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Sector,4,0.01,2.29,0.86,83.98,Weight is well distributed over instruments.,1.79,-1
59,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Market,4,0.01,2.29,0.86,83.98,Weight is well distributed over instruments.,1.79,-1
60,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Subindustry,4,0.08,2.8,0.99,82.68,Weight is well distributed over instruments.,2.03,-1
61,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Industry,4,0.08,2.5,0.91,83.39,Weight is well distributed over instruments.,1.9,-1
62,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Sector,4,0.08,2.29,0.86,83.98,Weight is well distributed over instruments.,1.79,-1
63,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Market,4,0.08,2.14,0.88,84.39,Weight is well distributed over instruments.,1.82,-1
64,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Subindustry,4,0.01,2.78,0.98,82.7,Weight is well distributed over instruments.,2.01,-1
65,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Industry,4,0.01,2.48,0.9,83.43,Weight is well distributed over instruments.,1.88,-1
66,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Sector,4,0.01,2.29,0.86,84.04,Weight is well distributed over instruments.,1.78,-1
67,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Market,4,0.01,2.14,0.88,84.46,Weight is well distributed over instruments.,1.82,-1
68,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Subindustry,4,0.08,2.78,0.98,82.7,Weight is well distributed over instruments.,2.01,-1
69,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Industry,4,0.08,2.48,0.9,83.43,Weight is well distributed over instruments.,1.88,-1
70,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Sector,4,0.08,2.29,0.86,84.04,Weight is well distributed over instruments.,1.78,-1
71,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Market,4,0.08,2.14,0.88,84.46,Weight is well distributed over instruments.,1.82,-1
72,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Subindustry,4,0.01,2.75,0.97,82.69,Weight is well distributed over instruments.,1.99,-1
73,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Industry,4,0.01,2.46,0.89,83.42,Weight is well distributed over instruments.,1.85,-1
74,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Sector,4,0.01,2.46,0.89,83.42,Weight is well distributed over instruments.,1.85,-1
75,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Market,4,0.01,2.14,0.88,84.46,Weight is well distributed over instruments.,1.81,-1
76,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Subindustry,4,0.08,2.75,0.97,82.69,Weight is well distributed over instruments.,1.99,-1
77,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Industry,4,0.08,2.46,0.89,83.42,Weight is well distributed over instruments.,1.85,-1
78,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Sector,4,0.08,2.28,0.86,84.04,Weight is well distributed over instruments.,1.77,-1
79,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Market,4,0.08,2.14,0.88,84.46,Weight is well distributed over instruments.,1.81,-1
80,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Subindustry,4,0.01,2.74,0.97,82.65,Weight is well distributed over instruments.,1.95,-1
81,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Industry,4,0.01,2.46,0.9,83.36,Weight is well distributed over instruments.,1.83,-1
82,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Sector,4,0.01,2.3,0.87,83.99,Weight is well distributed over instruments.,1.76,-1
83,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Market,4,0.01,2.17,0.9,84.41,Weight is well distributed over instruments.,1.82,-1
84,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Subindustry,4,0.08,2.74,0.97,82.65,Weight is well distributed over instruments.,1.95,-1
85,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Industry,4,0.08,2.46,0.9,83.36,Weight is well distributed over instruments.,1.83,-1
86,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Sector,4,0.08,2.3,0.87,83.99,Weight is well distributed over instruments.,1.76,-1
87,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Market,4,0.08,2.17,0.9,84.41,Weight is well distributed over instruments.,1.82,-1
88,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Subindustry,4,0.01,2.72,0.96,82.6,Weight is well distributed over instruments.,1.92,-1
89,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Industry,4,0.01,2.44,0.89,83.3,Weight is well distributed over instruments.,1.8,-1
90,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Sector,4,0.01,2.3,0.87,83.92,Weight is well distributed over instruments.,1.74,-1
91,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Market,4,0.01,2.18,0.91,84.34,Weight is well distributed over instruments.,1.81,-1
92,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Subindustry,4,0.08,2.72,0.96,82.6,Weight is well distributed over instruments.,1.92,-1
93,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Industry,4,0.08,2.44,0.89,83.3,Weight is well distributed over instruments.,1.8,-1
94,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Sector,4,0.08,2.3,0.87,83.92,Weight is well distributed over instruments.,1.74,-1
95,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Market,4,0.08,2.18,0.91,84.34,Weight is well distributed over instruments.,1.81,-1
96,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Subindustry,4,0.01,2.68,0.95,82.57,Weight is well distributed over instruments.,1.9,-1
97,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Industry,4,0.01,2.41,0.87,83.26,Weight is well distributed over instruments.,1.78,-1
98,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Sector,4,0.01,2.28,0.86,83.87,Weight is well distributed over instruments.,1.73,-1
99,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Market,4,0.01,2.16,0.9,84.29,Weight is well distributed over instruments.,1.79,-1
100,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Subindustry,4,0.08,2.68,0.95,82.57,Weight is well distributed over instruments.,1.9,-1
101,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Industry,4,0.08,2.41,0.87,83.26,Weight is well distributed over instruments.,1.78,-1
102,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Sector,4,0.08,2.28,0.86,83.87,Weight is well distributed over instruments.,1.73,-1
103,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Market,4,0.08,2.16,0.9,84.29,Weight is well distributed over instruments.,1.79,-1
104,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Subindustry,4,0.01,2.66,0.94,82.56,Weight is well distributed over instruments.,1.89,-1
105,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Industry,4,0.01,2.39,0.87,83.25,Weight is well distributed over instruments.,1.77,-1
106,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Sector,4,0.01,2.26,0.86,83.85,Weight is well distributed over instruments.,1.72,-1
107,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Market,4,0.01,2.14,0.89,84.28,Weight is well distributed over instruments.,1.77,-1
108,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Subindustry,4,0.08,2.66,0.94,82.56,Weight is well distributed over instruments.,1.89,-1
109,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Industry,4,0.08,2.39,0.87,83.25,Weight is well distributed over instruments.,1.77,-1
110,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Sector,4,0.08,2.26,0.86,83.85,Weight is well distributed over instruments.,1.72,-1
111,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Market,4,0.08,2.14,0.89,84.28,Weight is well distributed over instruments.,1.77,-1
112,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Subindustry,4,0.01,2.68,0.93,82.64,Weight is well distributed over instruments.,1.91,-1
113,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Industry,4,0.01,2.43,0.87,83.36,Weight is well distributed over instruments.,1.79,-1
114,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Sector,4,0.01,2.22,0.82,83.93,Weight is well distributed over instruments.,1.7,-1
115,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Market,4,0.01,2.09,0.85,84.34,Weight is well distributed over instruments.,1.75,-1
116,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Subindustry,4,0.08,2.68,0.93,82.64,Weight is well distributed over instruments.,1.91,-1
117,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Industry,4,0.08,2.43,0.87,83.36,Weight is well distributed over instruments.,1.79,-1
118,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Sector,4,0.08,2.22,0.82,83.93,Weight is well distributed over instruments.,1.7,-1
119,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 1))))",Market,4,0.08,2.09,0.85,84.34,Weight is well distributed over instruments.,1.75,-1
120,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Subindustry,4,0.01,2.65,0.92,82.67,Weight is well distributed over instruments.,1.88,-1
121,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Industry,4,0.01,2.38,0.85,83.39,Weight is well distributed over instruments.,1.76,-1
122,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Sector,4,0.01,2.19,0.81,83.98,Weight is well distributed over instruments.,1.67,-1
123,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Market,4,0.01,2.06,0.83,84.4,Weight is well distributed over instruments.,1.72,-1
