,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
124,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Subindustry,4,0.08,2.65,0.92,82.67,Weight is well distributed over instruments.,1.88,-1
125,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Industry,4,0.08,2.38,0.85,83.39,Weight is well distributed over instruments.,1.76,-1
126,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Sector,4,0.08,2.19,0.81,83.98,Weight is well distributed over instruments.,1.67,-1
127,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 2))))",Market,4,0.08,2.06,0.83,84.4,Weight is well distributed over instruments.,1.72,-1
128,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Subindustry,4,0.01,2.63,0.91,82.68,Weight is well distributed over instruments.,1.87,-1
129,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Industry,4,0.01,2.36,0.84,83.4,Weight is well distributed over instruments.,1.74,-1
130,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Sector,4,0.01,2.19,0.81,83.99,Weight is well distributed over instruments.,1.67,-1
131,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Market,4,0.01,2.05,0.83,84.41,Weight is well distributed over instruments.,1.72,-1
132,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Subindustry,4,0.08,2.63,0.91,82.68,Weight is well distributed over instruments.,1.87,-1
133,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Industry,4,0.08,2.36,0.84,83.4,Weight is well distributed over instruments.,1.74,-1
134,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Sector,4,0.08,2.19,0.81,83.99,Weight is well distributed over instruments.,1.67,-1
135,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 3))))",Market,4,0.08,2.05,0.83,84.41,Weight is well distributed over instruments.,1.72,-1
136,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Subindustry,4,0.01,2.65,0.92,82.67,Weight is well distributed over instruments.,1.87,-1
137,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Industry,4,0.01,2.37,0.85,83.38,Weight is well distributed over instruments.,1.73,-1
138,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Sector,4,0.01,2.21,0.82,83.97,Weight is well distributed over instruments.,1.67,-1
139,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Market,4,0.01,2.08,0.85,84.39,Weight is well distributed over instruments.,1.72,-1
140,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Subindustry,4,0.08,2.65,0.92,82.67,Weight is well distributed over instruments.,1.87,-1
141,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Industry,4,0.08,2.37,0.85,83.38,Weight is well distributed over instruments.,1.73,-1
142,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Sector,4,0.08,2.21,0.82,83.97,Weight is well distributed over instruments.,1.67,-1
143,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 5))))",Market,4,0.08,2.08,0.85,84.39,Weight is well distributed over instruments.,1.72,-1
144,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Subindustry,4,0.01,2.63,0.91,82.64,Weight is well distributed over instruments.,1.87,-1
145,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Industry,4,0.01,2.35,0.84,83.35,Weight is well distributed over instruments.,1.73,-1
146,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Sector,4,0.01,2.2,0.82,83.95,Weight is well distributed over instruments.,1.68,-1
147,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Market,4,0.01,2.07,0.85,84.36,Weight is well distributed over instruments.,1.72,-1
148,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Subindustry,4,0.08,2.63,0.91,82.64,Weight is well distributed over instruments.,1.87,-1
149,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Industry,4,0.08,2.35,0.84,83.35,Weight is well distributed over instruments.,1.73,-1
150,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Sector,4,0.08,2.2,0.82,83.95,Weight is well distributed over instruments.,1.68,-1
151,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 8))))",Market,4,0.08,2.07,0.85,84.36,Weight is well distributed over instruments.,1.72,-1
152,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Subindustry,4,0.01,2.57,0.89,82.62,Weight is well distributed over instruments.,1.85,-1
153,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Industry,4,0.01,2.31,0.82,83.32,Weight is well distributed over instruments.,1.71,-1
154,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Sector,4,0.01,2.17,0.8,83.92,Weight is well distributed over instruments.,1.66,-1
155,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Market,4,0.01,2.04,0.83,84.34,Weight is well distributed over instruments.,1.7,-1
156,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Subindustry,4,0.08,2.57,0.89,82.62,Weight is well distributed over instruments.,1.85,-1
157,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Industry,4,0.08,2.31,0.82,83.32,Weight is well distributed over instruments.,1.71,-1
158,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Sector,4,0.08,2.31,0.82,83.32,Weight is well distributed over instruments.,1.71,-1
159,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 13))))",Market,4,0.08,2.04,0.83,84.34,Weight is well distributed over instruments.,1.7,-1
160,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Subindustry,4,0.01,2.57,0.89,82.62,Weight is well distributed over instruments.,1.84,-1
161,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Industry,4,0.01,2.3,0.82,83.31,Weight is well distributed over instruments.,1.7,-1
162,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Sector,4,0.01,2.16,0.8,83.92,Weight is well distributed over instruments.,1.66,-1
163,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Market,4,0.01,2.04,0.83,84.33,Weight is well distributed over instruments.,1.69,-1
164,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Subindustry,4,0.08,2.57,0.89,82.62,Weight is well distributed over instruments.,1.84,-1
165,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Industry,4,0.08,2.3,0.82,83.31,Weight is well distributed over instruments.,1.7,-1
166,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Sector,4,0.08,2.16,0.8,83.92,Weight is well distributed over instruments.,1.66,-1
167,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 20)), 21))))",Market,4,0.08,2.04,0.83,84.33,Weight is well distributed over instruments.,1.69,-1
168,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Subindustry,4,0.01,2.51,0.85,82.68,Weight is well distributed over instruments.,1.89,-1
169,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Industry,4,0.01,2.27,0.79,83.4,Weight is well distributed over instruments.,1.75,-1
170,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Sector,4,0.01,2.08,0.75,83.98,Weight is well distributed over instruments.,1.66,-1
171,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Market,4,0.01,1.97,0.78,84.39,Weight is well distributed over instruments.,1.7,-1
172,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Subindustry,4,0.08,2.51,0.85,82.68,Weight is well distributed over instruments.,1.89,-1
173,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Subindustry,4,0.01,2.51,0.85,82.71,Weight is well distributed over instruments.,1.86,-1
174,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Industry,4,0.01,2.26,0.78,83.43,Weight is well distributed over instruments.,1.72,-1
175,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Sector,4,0.01,2.08,0.75,84.02,Weight is well distributed over instruments.,1.63,-1
176,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Market,4,0.01,1.97,0.78,84.45,Weight is well distributed over instruments.,1.68,-1
177,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Subindustry,4,0.08,2.51,0.85,82.71,Weight is well distributed over instruments.,1.86,-1
178,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Subindustry,4,0.01,2.52,0.85,82.71,Weight is well distributed over instruments.,1.85,-1
179,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Industry,4,0.01,2.26,0.79,83.44,Weight is well distributed over instruments.,1.7,-1
180,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Sector,4,0.01,2.09,0.75,84.04,Weight is well distributed over instruments.,1.62,-1
181,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Market,4,0.01,1.97,0.78,84.46,Weight is well distributed over instruments.,1.67,-1
182,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Subindustry,4,0.08,2.52,0.85,82.71,Weight is well distributed over instruments.,1.85,-1
183,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Subindustry,4,0.01,2.52,0.86,82.7,Weight is well distributed over instruments.,1.84,-1
184,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Industry,4,0.01,2.25,0.78,83.42,Weight is well distributed over instruments.,1.69,-1
185,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Sector,4,0.01,2.09,0.76,84.02,Weight is well distributed over instruments.,1.62,-1
186,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Market,4,0.01,1.98,0.79,84.45,Weight is well distributed over instruments.,1.66,-1
187,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Subindustry,4,0.08,2.52,0.86,82.7,Weight is well distributed over instruments.,1.84,-1
188,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Subindustry,4,0.01,2.52,0.86,82.69,Weight is well distributed over instruments.,1.84,-1
189,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Industry,4,0.01,2.25,0.79,83.4,Weight is well distributed over instruments.,1.69,-1
190,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Sector,4,0.01,2.1,0.76,84.0,Weight is well distributed over instruments.,1.62,-1
191,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Market,4,0.01,1.99,0.8,84.43,Weight is well distributed over instruments.,1.67,-1
192,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Subindustry,4,0.08,2.52,0.86,82.69,Weight is well distributed over instruments.,1.84,-1
193,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 8))))",Market,4,0.08,1.99,0.8,84.43,Weight is well distributed over instruments.,1.67,-1
194,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Subindustry,4,0.01,2.51,0.86,82.68,Weight is well distributed over instruments.,1.83,-1
195,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Industry,4,0.01,2.25,0.79,83.38,Weight is well distributed over instruments.,1.68,-1
196,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Sector,4,0.01,2.11,0.77,83.99,Weight is well distributed over instruments.,1.63,-1
197,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Market,4,0.01,2.01,0.81,84.41,Weight is well distributed over instruments.,1.68,-1
198,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Subindustry,4,0.08,2.51,0.86,82.68,Weight is well distributed over instruments.,1.83,-1
199,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 13))))",Market,4,0.08,2.01,0.81,84.41,Weight is well distributed over instruments.,1.68,-1
200,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Subindustry,4,0.01,2.54,0.88,82.68,Weight is well distributed over instruments.,1.84,-1
201,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Industry,4,0.01,2.27,0.8,83.38,Weight is well distributed over instruments.,1.7,-1
202,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Sector,4,0.01,2.14,0.79,83.98,Weight is well distributed over instruments.,1.65,-1
203,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Market,4,0.01,2.03,0.82,84.4,Weight is well distributed over instruments.,1.69,-1
204,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Subindustry,4,0.08,2.54,0.88,82.68,Weight is well distributed over instruments.,1.84,-1
205,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Industry,4,0.08,2.27,0.8,83.38,Weight is well distributed over instruments.,1.7,-1
206,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 21))))",Market,4,0.08,2.03,0.82,84.4,Weight is well distributed over instruments.,1.69,-1
207,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Subindustry,4,0.01,2.5,0.85,82.77,Weight is well distributed over instruments.,1.86,-1
208,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Industry,4,0.01,2.24,0.78,83.49,Weight is well distributed over instruments.,1.72,-1
209,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Sector,4,0.01,2.09,0.76,84.07,Weight is well distributed over instruments.,1.65,-1
210,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Market,4,0.01,2.0,0.8,84.48,Weight is well distributed over instruments.,1.71,-1
211,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Subindustry,4,0.08,2.5,0.85,82.77,Weight is well distributed over instruments.,1.86,-1
212,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 1))))",Market,4,0.08,2.0,0.8,84.48,Weight is well distributed over instruments.,1.71,-1
213,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Subindustry,4,0.01,2.52,0.86,82.8,Weight is well distributed over instruments.,1.86,-1
214,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Industry,4,0.01,2.25,0.79,83.53,Weight is well distributed over instruments.,1.72,-1
215,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Sector,4,0.01,2.11,0.77,84.12,Weight is well distributed over instruments.,1.64,-1
216,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Market,4,0.01,2.02,0.81,84.53,Weight is well distributed over instruments.,1.71,-1
217,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Subindustry,4,0.08,2.52,0.86,82.8,Weight is well distributed over instruments.,1.86,-1
218,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 2))))",Market,4,0.08,2.02,0.81,84.53,Weight is well distributed over instruments.,1.71,-1
219,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Subindustry,4,0.01,2.53,0.87,82.82,Weight is well distributed over instruments.,1.85,-1
220,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Industry,4,0.01,2.26,0.8,83.54,Weight is well distributed over instruments.,1.7,-1
221,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Sector,4,0.01,2.11,0.77,84.13,Weight is well distributed over instruments.,1.64,-1
222,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Market,4,0.01,2.03,0.82,84.55,Weight is well distributed over instruments.,1.7,-1
223,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Subindustry,4,0.08,2.53,0.87,82.82,Weight is well distributed over instruments.,1.85,-1
224,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Industry,4,0.08,2.26,0.8,83.54,Weight is well distributed over instruments.,1.7,-1
225,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 3))))",Market,4,0.08,2.03,0.82,84.55,Weight is well distributed over instruments.,1.7,-1
226,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Subindustry,4,0.01,2.54,0.87,82.8,Weight is well distributed over instruments.,1.84,-1
227,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Industry,4,0.01,2.27,0.8,83.53,Weight is well distributed over instruments.,1.7,-1
228,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Sector,4,0.01,2.14,0.79,84.12,Weight is well distributed over instruments.,1.64,-1
229,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Market,4,0.01,2.05,0.83,84.54,Weight is well distributed over instruments.,1.7,-1
230,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Subindustry,4,0.08,2.54,0.87,82.8,Weight is well distributed over instruments.,1.84,-1
231,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Industry,4,0.08,2.27,0.8,83.53,Weight is well distributed over instruments.,1.7,-1
232,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 5))))",Market,4,0.08,2.05,0.83,84.54,Weight is well distributed over instruments.,1.7,-1
233,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Subindustry,4,0.01,2.54,0.88,82.79,Weight is well distributed over instruments.,1.84,-1
234,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Industry,4,0.01,2.27,0.8,83.51,Weight is well distributed over instruments.,1.7,-1
235,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Sector,4,0.01,2.14,0.79,84.1,Weight is well distributed over instruments.,1.65,-1
236,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Market,4,0.01,2.05,0.83,84.52,Weight is well distributed over instruments.,1.71,-1
237,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Subindustry,4,0.08,2.54,0.88,82.79,Weight is well distributed over instruments.,1.84,-1
238,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Industry,4,0.08,2.27,0.8,83.51,Weight is well distributed over instruments.,1.7,-1
239,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 8))))",Market,4,0.08,2.05,0.83,84.52,Weight is well distributed over instruments.,1.71,-1
240,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Subindustry,4,0.01,2.54,0.88,82.78,Weight is well distributed over instruments.,1.82,-1
241,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Industry,4,0.01,2.27,0.81,83.49,Weight is well distributed over instruments.,1.69,-1
242,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Sector,4,0.01,2.15,0.8,84.09,Weight is well distributed over instruments.,1.64,-1
243,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Market,4,0.01,2.06,0.84,84.5,Weight is well distributed over instruments.,1.7,-1
244,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Subindustry,4,0.08,2.54,0.88,82.78,Weight is well distributed over instruments.,1.82,-1
245,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Industry,4,0.08,2.27,0.81,83.49,Weight is well distributed over instruments.,1.69,-1
246,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Sector,4,0.08,2.15,0.8,84.09,Weight is well distributed over instruments.,1.64,-1
247,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 50)), 13))))",Market,4,0.08,2.06,0.84,84.5,Weight is well distributed over instruments.,1.7,-1
